MyFsmInit,run,Top,State1,init
MyFsmStateHandler,enter,Top,State1,EVT_FSM_ENTRY
MyFsmStateHandler,enter,Nested1,State1,EVT_FSM_ENTRY
Nested1_State1_Entry,run,Nested1,State1,entry_actions
MyFsmStateHandler,exit,Nested1,State1,EVT_FSM_ENTRY,consumed
MyFsmStateHandler,enter,Nested1,State1,EVT_FSM_SUPERSTATE_ENTRY
MyFsmStateHandler,exit,Nested1,State1,EVT_FSM_SUPERSTATE_ENTRY,not_consumed
MyFsmStateHandler,exit,Top,State1,EVT_FSM_ENTRY,consumed
MyFsmStateHandler,enter,Top,State1,EVT_3
MyFsmStateHandler,enter,Nested1,State1,EVT_3
MyFsmStateHandler,exit,Nested1,State1,EVT_3,consumed
MyFsmStateHandler,enter,Nested1,State1,EVT_FSM_EXIT
MyFsmStateHandler,exit,Nested1,State1,EVT_FSM_EXIT,not_consumed
MyFsmStateHandler,enter,Nested1,State2,EVT_FSM_ENTRY
MyFsmStateHandler,exit,Nested1,State2,EVT_FSM_ENTRY,not_consumed
MyFsmStateHandler,exit,Top,State1,EVT_3,consumed
MyFsmStateHandler,enter,Top,State1,EVT_1
MyFsmStateHandler,enter,Nested1,State2,EVT_1
MyFsmStateHandler,exit,Nested1,State2,EVT_1,not_consumed
MyFsmStateHandler,exit,Top,State1,EVT_1,consumed
MyFsmStateHandler,enter,Top,State1,EVT_FSM_EXIT
MyFsmStateHandler,enter,Nested1,State2,EVT_FSM_SUPERSTATE_EXIT
MyFsmStateHandler,exit,Nested1,State2,EVT_FSM_SUPERSTATE_EXIT,not_consumed
MyFsmStateHandler,exit,Top,State1,EVT_FSM_EXIT,not_consumed
MyFsmStateHandler,enter,Top,State2,EVT_FSM_ENTRY
MyFsmStateHandler,enter,Nested2,State1,EVT_FSM_SUPERSTATE_ENTRY
Nested2_State1_Entry,run,Nested2,State1,entry_actions
MyFsmStateHandler,exit,Nested2,State1,EVT_FSM_SUPERSTATE_ENTRY,consumed
MyFsmStateHandler,exit,Top,State2,EVT_FSM_ENTRY,consumed
MyFsmStateHandler,enter,Top,State2,EVT_3
MyFsmStateHandler,enter,Nested2,State1,EVT_3
MyFsmStateHandler,exit,Nested2,State1,EVT_3,consumed
MyFsmStateHandler,enter,Nested2,State1,EVT_FSM_EXIT
MyFsmStateHandler,exit,Nested2,State1,EVT_FSM_EXIT,not_consumed
MyFsmStateHandler,enter,Nested2,State2,EVT_FSM_ENTRY
MyFsmStateHandler,exit,Nested2,State2,EVT_FSM_ENTRY,not_consumed
MyFsmStateHandler,exit,Top,State2,EVT_3,consumed
MyFsmStateHandler,enter,Top,State2,EVT_2
MyFsmStateHandler,enter,Nested2,State2,EVT_2
MyFsmStateHandler,exit,Nested2,State2,EVT_2,not_consumed
MyFsmStateHandler,exit,Top,State2,EVT_2,consumed
MyFsmStateHandler,enter,Top,State2,EVT_FSM_EXIT
MyFsmStateHandler,enter,Nested2,State2,EVT_FSM_SUPERSTATE_EXIT
MyFsmStateHandler,exit,Nested2,State2,EVT_FSM_SUPERSTATE_EXIT,not_consumed
MyFsmStateHandler,exit,Top,State2,EVT_FSM_EXIT,not_consumed
MyFsmStateHandler,enter,Top,State1,EVT_FSM_ENTRY
MyFsmStateHandler,enter,Nested1,State2,EVT_FSM_SUPERSTATE_ENTRY
MyFsmStateHandler,exit,Nested1,State2,EVT_FSM_SUPERSTATE_ENTRY,not_consumed
MyFsmStateHandler,exit,Top,State1,EVT_FSM_ENTRY,consumed
MyFsmStateHandler,enter,Top,State1,EVT_4
MyFsmStateHandler,enter,Nested1,State2,EVT_4
MyFsmStateHandler,exit,Nested1,State2,EVT_4,consumed
MyFsmStateHandler,enter,Nested1,State2,EVT_FSM_EXIT
MyFsmStateHandler,exit,Nested1,State2,EVT_FSM_EXIT,not_consumed
MyFsmStateHandler,enter,Nested1,State1,EVT_FSM_ENTRY
Nested1_State1_Entry,run,Nested1,State1,entry_actions
MyFsmStateHandler,exit,Nested1,State1,EVT_FSM_ENTRY,consumed
MyFsmStateHandler,exit,Top,State1,EVT_4,consumed
MyFsmStateHandler,enter,Top,State1,EVT_1
MyFsmStateHandler,enter,Nested1,State1,EVT_1
MyFsmStateHandler,exit,Nested1,State1,EVT_1,not_consumed
MyFsmStateHandler,exit,Top,State1,EVT_1,consumed
MyFsmStateHandler,enter,Top,State1,EVT_FSM_EXIT
MyFsmStateHandler,enter,Nested1,State1,EVT_FSM_SUPERSTATE_EXIT
MyFsmStateHandler,exit,Nested1,State1,EVT_FSM_SUPERSTATE_EXIT,not_consumed
MyFsmStateHandler,exit,Top,State1,EVT_FSM_EXIT,not_consumed
MyFsmStateHandler,enter,Top,State2,EVT_FSM_ENTRY
MyFsmStateHandler,enter,Nested2,State1,EVT_FSM_SUPERSTATE_ENTRY
Nested2_State1_Entry,run,Nested2,State1,entry_actions
MyFsmStateHandler,exit,Nested2,State1,EVT_FSM_SUPERSTATE_ENTRY,consumed
MyFsmStateHandler,exit,Top,State2,EVT_FSM_ENTRY,consumed
MyFsmStateHandler,enter,Top,State2,EVT_4
MyFsmStateHandler,enter,Nested2,State1,EVT_4
MyFsmStateHandler,exit,Nested2,State1,EVT_4,not_consumed
MyFsmStateHandler,exit,Top,State2,EVT_4,not_consumed
FsmRun,Top,State2,EVT_4,ignored
